jurisdiction,address,zip5,apn_fmt,con_sites,ex_gp_des,ex_zoning,min_dens,max_dens,acres,ex_use_vac,infra,public,site_stat,id_last2,li,mod,amod,capacity,opt1,opt2,abag_general_plan,abag_zoning,abag_allowable_density,abag_rhna_cycle,abag_rhna_years,sf_used_in_previous_he,abag_used_in_previous_he
San Francisco,375-377 32ND AVE,94121.0,1401-002,,"NEIGHBORHOOD COMMERCIAL, SHOPPING CENTER",NC-S,0.0,67.51772914284892,1.639902200732611,Commercial Stores,Yes,,Available,Not Used in Prior Housing Element,0.0,1.174973648,1.174973648,2.349947296,,0.021223761,NC-S,,,RHNA4,2007-2014,0,1
San Francisco,3026 CLEMENT ST,94121.0,1402-021,,"NEIGHBORHOOD COMMERCIAL, CLUSTER",NC-1,0.0,20.74543055363577,0.05933951917330889,Flats & Duplex,Yes,,Available,Not Used in Prior Housing Element,0.0,0.004424506,0.004424506,0.008849012,,0.007188335,NC-1,,,RHNA4,2007-2014,0,1
San Francisco,2428 CLEMENT ST,94121.0,1408-017,,NEIGHBORHOOD COMMERCIAL DISTRICT,NCD-OUTER CLEMENT,0.0,72.59971040576637,0.0573923165672219,Flat & Store 4 units or less,Yes,,Available,Not Used in Prior Housing Element,0.0,0.045589065,0.045589065,0.09117813,,0.021882757,NC Named,,,RHNA4,2007-2014,0,1
San Francisco,2140 CLEMENT ST,94121.0,1411-013,,NEIGHBORHOOD COMMERCIAL DISTRICT,NCD-OUTER CLEMENT,0.0,72.59970909068782,0.09867775436007839,Commercial Stores,Yes,,Available,Not Used in Prior Housing Element,0.0,0.0844362755,0.0844362755,0.168872551,,0.023572461,NC Named,,,RHNA4,2007-2014,0,1
San Francisco,2032-2036 CLEMENT ST,94121.0,1412-019,,NEIGHBORHOOD COMMERCIAL DISTRICT,NCD-OUTER CLEMENT,0.0,31.04931946817565,0.07220148584817387,Apartment 4 units or less,Yes,,Available,Not Used in Prior Housing Element,0.0,0.0078311385,0.0078311385,0.015662277,,0.006986452,NC Named,,,RHNA4,2007-2014,0,1
San Francisco,5521-5523 CALIFORNIA ST,94121.0,1416-044,,"NEIGHBORHOOD COMMERCIAL, CLUSTER",NC-1,0.0,54.44977956104238,0.05514426846689952,Flat & Store 4 units or less,Yes,,Available,Not Used in Prior Housing Element,0.0,0.0106035365,0.0106035365,0.021207073,,0.007062919,NC-1,,,RHNA4,2007-2014,0,1
San Francisco,5515-5517 CALIFORNIA ST,94121.0,1416-045,,"NEIGHBORHOOD COMMERCIAL, CLUSTER",NC-1,0.0,54.44978097314615,0.05514451953119714,Flat & Store 4 units or less,Yes,,Available,Not Used in Prior Housing Element,0.0,0.033019908,0.033019908,0.066039816,,0.021994159,NC-1,,,RHNA4,2007-2014,0,1
San Francisco,5331-5333 CALIFORNIA ST,94118.0,1418-048,,"RESIDENTIAL- MIXED, LOW DENSITY",RM-1,0.0,19.60195815406441,0.05739238408565331,Flats & Duplex,Yes,,Available,Not Used in Prior Housing Element,0.0,0.0011751895,0.0011751895,0.002350379,,0.00208922,RM-1,,,RHNA4,2007-2014,0,1
San Francisco,900-902 CLEMENT ST,94118.0,1423-047,,NEIGHBORHOOD COMMERCIAL DISTRICT,NCD-INNER CLEMENT,0.0,72.59970828133976,0.05208838434141998,Commercial Stores,Yes,,Available,Not Used in Prior Housing Element,0.0,0.0410530395,0.0410530395,0.082106079,,0.021711986,NC Named,,,RHNA4,2007-2014,0,1
San Francisco,906-910 CLEMENT ST,94118.0,1423-048,,NEIGHBORHOOD COMMERCIAL DISTRICT,NCD-INNER CLEMENT,0.0,72.59970918843082,0.05175557373992869,Commercial Stores,Yes,,Available,Not Used in Prior Housing Element,0.0,0.0408962845,0.0408962845,0.081792569,,0.021768166,NC Named,,,RHNA4,2007-2014,0,1
San Francisco,918 CLEMENT ST,94118.0,1423-050,,NEIGHBORHOOD COMMERCIAL DISTRICT,NCD-INNER CLEMENT,0.0,72.59971050366707,0.05088779655710519,Office,Yes,,Available,Not Used in Prior Housing Element,0.0,0.0400823315,0.0400823315,0.080164663,,0.021698736,NC Named,,,RHNA4,2007-2014,0,1
San Francisco,241 07TH AVE,94118.0,1426-008,,"RESIDENTIAL- MIXED, LOW DENSITY",RM-1,0.0,39.888032229549,0.06867308732242551,Dwelling,Yes,,Available,Not Used in Prior Housing Element,0.0,0.0028626245,0.0028626245,0.005725249,,0.002090091,RM-1,,,RHNA4,2007-2014,0,1
San Francisco,15-17 CLEMENT ST,94118.0,1433-036,,NEIGHBORHOOD COMMERCIAL DISTRICT,NCD-INNER CLEMENT,0.0,72.59971068440382,0.07030580004837102,Flat & Store 4 units or less,Yes,,Available,Not Used in Prior Housing Element,0.0,0.0589918905,0.0589918905,0.117983781,,0.023115126,NC Named,,,RHNA4,2007-2014,0,1
San Francisco,3732 GEARY BLVD,94118.0,1433-061,,NEIGHBORHOOD COMMERCIAL DISTRICT,NCD-GEARY BOULEVARD,0.0,90.02364125758358,0.1147846402023229,Commercial Stores,Yes,,Available,Not Used in Prior Housing Element,0.0,0.1328076625,0.1328076625,0.265615325,,0.025704714,NC-3,,,RHNA4,2007-2014,0,1
San Francisco,3910-3912 GEARY BLVD,94118.0,1435-014,,NEIGHBORHOOD COMMERCIAL DISTRICT,NCD-GEARY BOULEVARD,0.0,90.02364139715739,0.1365942726887891,Flat & Store 4 units or less,Yes,,Available,Not Used in Prior Housing Element,0.0,0.157684063,0.157684063,0.315368126,,0.025646537,NC-3,,,RHNA4,2007-2014,0,1
San Francisco,4228 GEARY BLVD,94118.0,1438-019,,NEIGHBORHOOD COMMERCIAL DISTRICT,NCD-GEARY BOULEVARD,0.0,72.59971133318705,0.1147845948622895,Commercial Stores,Yes,,Available,Not Used in Prior Housing Element,0.0,0.095896573,0.095896573,0.191793146,,0.023015191,NC-3,,,RHNA4,2007-2014,0,1
San Francisco,609 CLEMENT ST,94118.0,1439-044,,NEIGHBORHOOD COMMERCIAL DISTRICT,NCD-INNER CLEMENT,0.0,72.59970940532483,0.05165335198739619,Commercial Stores,Yes,,Available,Not Used in Prior Housing Element,0.0,0.0434917265,0.0434917265,0.086983453,,0.023195474,NC Named,,,RHNA4,2007-2014,0,1
San Francisco,707-717 CLEMENT ST,94118.0,1440-038,,NEIGHBORHOOD COMMERCIAL DISTRICT,NCD-INNER CLEMENT,0.0,72.5997101411592,0.1182283589369841,Commercial Stores,Yes,,Available,Not Used in Prior Housing Element,0.0,0.09973652,0.09973652,0.19947304,,0.023239547,NC Named,,,RHNA4,2007-2014,0,1
San Francisco,399 10TH AVE,94118.0,1442-020,,NEIGHBORHOOD COMMERCIAL DISTRICT,NCD-GEARY BOULEVARD,0.0,90.02364068010986,0.1283139555904423,Commercial Stores,Yes,,Available,Not Used in Prior Housing Element,0.0,0.14644749,0.14644749,0.29289498,,0.025356042,NC-3,,,RHNA4,2007-2014,0,1
San Francisco,4808-4818 GEARY BLVD,94118.0,1444-019,,NEIGHBORHOOD COMMERCIAL DISTRICT,NCD-GEARY BOULEVARD,0.0,72.59970894737056,0.114784591376222,Garages (Commercial),Yes,,Available,Not Used in Prior Housing Element,0.0,0.0973391785,0.0973391785,0.194678357,,0.023361418,NC-3,,,RHNA4,2007-2014,0,1
San Francisco,30 TACOMA ST,94118.0,1447-043C,,"RESIDENTIAL- HOUSE, TWO FAMILY",RH-2,0.0,26.70880558834761,0.03744083563348394,Dwelling,Yes,,Available,Not Used in Prior Housing Element,0.0,0.0009491145,0.0009491145,0.001898229,,0.001898229,RH-2,,,RHNA4,2007-2014,0,1
San Francisco,5420-5424 GEARY BLVD,94121.0,1450-019A,,NEIGHBORHOOD COMMERCIAL DISTRICT,NCD-GEARY BOULEVARD,0.0,90.02363976017196,0.1627037535439225,Commercial Stores,Yes,,Available,Not Used in Prior Housing Element,0.0,0.2033789195,0.2033789195,0.406757839,,0.027770378,NC-3,,,RHNA4,2007-2014,0,1
